year,apt_name,total_arrival_delay_minutes,disruption_delay,capacity_delay,weather_delay,event_delay,staffing_delay,total_taxiout_additional_minutes,avg_arrival_delay_per_flight_imputed,total_arrival_delay_minutes_imputed
2022,Cologne-Bonn,8885,0,8567,318,0,0,15484.90667,1.493779422,8885
2022,Cologne-Bonn,11777,0,9203,2574,0,0,16098.06,1.957938487,11777
2022,Cologne-Bonn,11130,0,7879,3251,0,0,15752.12333,1.917973462,11130
2022,Cologne-Bonn,7805,0,7375,430,0,0,13554.85,1.407574391,7805
2022,Cologne-Bonn,3416,0,3416,0,0,0,9077.616667,0.803008933,3416
2022,Cologne-Bonn,5302,0,3054,2248,0,0,9782.898333,1.316612863,5302
2023,Cologne-Bonn,2899,0,1508,1391,0,0,8794.261667,0.778046162,2899
2023,Cologne-Bonn,2575,0,991,1584,0,0,7735.365,0.740580961,2575
2023,Cologne-Bonn,3816,0,1839,1977,0,0,10351.48,0.912482066,3816
2023,Cologne-Bonn,3045,0,3045,0,0,0,12200.985,0.651615664,3045
2023,Cologne-Bonn,5595,583,5012,0,0,0,13730.63667,1.017087802,5595
2023,Cologne-Bonn,8079,0,6247,1832,0,0,13990.92667,1.416374474,8079
2023,Cologne-Bonn,7532,0,7135,397,0,0,15008.70667,1.311281337,7532
2023,Cologne-Bonn,8048,0,7870,0,0,178,15853.255,1.370805655,8048
2023,Cologne-Bonn,8553,0,6950,1603,0,0,14454.405,1.493712889,8553
2023,Cologne-Bonn,6700,0,6700,0,0,0,14816.09167,1.135208404,6700
2023,Cologne-Bonn,2941,0,976,1965,0,0,10551.87167,0.692,2941
2023,Cologne-Bonn,1456,0,451,1005,0,0,9775.89,0.374100719,1456
2024,Cologne-Bonn,1466,17,497,952,0,0,9484.11,0.396752368,1466
2024,Cologne-Bonn,692,0,692,0,0,0,8499.686667,0.1893815,692
2024,Cologne-Bonn,1263,40,881,342,0,0,9277.518333,0.29985755,1263
2024,Cologne-Bonn,500,0,500,0,0,0,12149.435,0.10495382,500
2024,Cologne-Bonn,3396,0,1478,1918,0,0,15229.855,0.630874977,3396
2024,Cologne-Bonn,2834,0,1764,1070,0,0,13596.61167,0.521819186,2834
2024,Cologne-Bonn,5124,0,3752,1372,0,0,14183.49,0.894240838,5124
2024,Cologne-Bonn,4249,9,3904,336,0,0,14229.89333,0.746486297,4249
2024,Cologne-Bonn,5754,1686,3533,535,0,0,11746.38333,1.05888848,5754
2024,Cologne-Bonn,3218,0,3218,0,0,0,13307.63667,0.558971687,3218
2024,Cologne-Bonn,1700,0,93,1607,0,0,8619.226667,0.399905904,1700
2024,Cologne-Bonn,592,0,356,236,0,0,8274.023333,0.144144144,592
2018,Dusseldorf,795,0,61,734,0,0,20990.575,0.10751961,795
2018,Dusseldorf,432,0,331,101,0,0,17049.27333,0.059064807,432
2018,Dusseldorf,403,0,126,277,0,0,21718.28333,0.048165412,403
2018,Dusseldorf,693,0,0,693,0,0,23313.57333,0.081808523,693
2018,Dusseldorf,6305,0,1153,5152,0,0,27265.03667,0.666560947,6305
2018,Dusseldorf,8063,504,5946,1613,0,0,30405.78833,0.835370908,8063
2018,Dusseldorf,5632,97,5321,214,0,0,30562.99,0.553622334,5632
2018,Dusseldorf,4197,0,3198,999,0,0,31489.14167,0.410705548,4197
2018,Dusseldorf,12285,0,11269,1016,0,0,34215.41,1.209748892,12285
2018,Dusseldorf,6596,0,5665,931,0,0,36373.14333,0.624857901,6596
2018,Dusseldorf,2528,0,1552,976,0,0,26705.38667,0.278352786,2528
2018,Dusseldorf,981,0,503,478,0,0,23333.19,0.116980682,981
2019,Dusseldorf,2217,535,423,1259,0,0,22045.97167,0.262553292,2217
2019,Dusseldorf,977,90,887,0,0,0,21226.07667,0.122415737,977
2019,Dusseldorf,2324,135,1822,367,0,0,26486.90667,0.256823958,2324
2019,Dusseldorf,2116,0,542,1574,0,0,26480.94167,0.225610406,2116
2019,Dusseldorf,5048,177,3337,1534,0,0,35934.875,0.497241923,5048
2019,Dusseldorf,12874,0,11101,1773,0,0,32824.72,1.281377526,12874
2019,Dusseldorf,9520,0,7484,2036,0,0,34750.54,0.908223621,9520
2019,Dusseldorf,7109,96,5707,1306,0,0,36815.59167,0.692008177,7109
2019,Dusseldorf,15060,0,14174,886,0,0,37688.02,1.44863409,15060
2019,Dusseldorf,17428,0,16625,803,0,0,41990.76,1.630766352,17428
2019,Dusseldorf,1645,0,1645,0,0,0,19326.92833,0.201100244,1645
2019,Dusseldorf,900,0,0,900,0,0,18028.29667,0.11674666,900
2020,Dusseldorf,7338,390,273,6675,0,0,18497.87667,0.934658005,7338
2020,Dusseldorf,2851,345,746,1760,0,0,18767.485,0.381506758,2851
2020,Dusseldorf,246,0,246,0,0,0,10216.67,0.051485977,246
2021,Dusseldorf,177,0,11,0,0,166,12623.73333,0.035315243,177
2021,Dusseldorf,260,0,0,260,0,0,13311.23333,0.047610328,260
2021,Dusseldorf,377,0,153,224,0,0,15027.04333,0.063736264,377
