apt_name,total_taxiout_additional_minutes,delay_type,delay_minutes
Cologne-Bonn,5614.631667,Disruption,0
Cologne-Bonn,5614.631667,Capacity,385
Cologne-Bonn,5614.631667,Weather,0
Cologne-Bonn,5614.631667,Event,0
Cologne-Bonn,5614.631667,Staffing,0
Cologne-Bonn,6152.396667,Disruption,0
Cologne-Bonn,6152.396667,Capacity,578
Cologne-Bonn,6152.396667,Weather,0
Cologne-Bonn,6152.396667,Event,0
Cologne-Bonn,6152.396667,Staffing,0
Cologne-Bonn,5912.14,Disruption,0
Cologne-Bonn,5912.14,Capacity,508
Cologne-Bonn,5912.14,Weather,0
Cologne-Bonn,5912.14,Event,0
Cologne-Bonn,5912.14,Staffing,0
Cologne-Bonn,7040.358333,Disruption,0
Cologne-Bonn,7040.358333,Capacity,385
Cologne-Bonn,7040.358333,Weather,322
Cologne-Bonn,7040.358333,Event,0
Cologne-Bonn,7040.358333,Staffing,0
Cologne-Bonn,8456.608333,Disruption,0
Cologne-Bonn,8456.608333,Capacity,1791
Cologne-Bonn,8456.608333,Weather,129
Cologne-Bonn,8456.608333,Event,0
Cologne-Bonn,8456.608333,Staffing,0
Cologne-Bonn,12678.83,Disruption,0
Cologne-Bonn,12678.83,Capacity,6081
Cologne-Bonn,12678.83,Weather,0
Cologne-Bonn,12678.83,Event,0
Cologne-Bonn,12678.83,Staffing,0
Cologne-Bonn,13762.685,Disruption,2782
Cologne-Bonn,13762.685,Capacity,4152
Cologne-Bonn,13762.685,Weather,0
Cologne-Bonn,13762.685,Event,0
Cologne-Bonn,13762.685,Staffing,0
Cologne-Bonn,11973.305,Disruption,29
Cologne-Bonn,11973.305,Capacity,5131
Cologne-Bonn,11973.305,Weather,0
Cologne-Bonn,11973.305,Event,0
Cologne-Bonn,11973.305,Staffing,0
Cologne-Bonn,12801.21833,Disruption,384
Cologne-Bonn,12801.21833,Capacity,5219
Cologne-Bonn,12801.21833,Weather,786
Cologne-Bonn,12801.21833,Event,0
Cologne-Bonn,12801.21833,Staffing,0
